AppID,Name,Release date,Estimated owners,Required age,Price,Supported languages,Positive,Negative,Achievements,Recommendations,Average playtime forever,Publishers,Categories,Genres
690310,SiegeVR,20-Mar-18,0 - 20000,0,4.99,['English'],9,2,18,0,0,Vive Studios,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Leaderboards",Action
587470,Chroma Lab,22-Aug-17,20000 - 50000,0,4.99,['English'],295,10,0,281,0,Sean Tann,Single-player,"Casual,Indie,Simulation"
1471940,Bahamian Rhapsody,4-Dec-20,0 - 20000,0,4.99,['English'],11,7,5,0,0,Little Black Book Entertainment,"Single-player,Steam Achievements",Casual
339800,HuniePop,19-Jan-15,1000000 - 2000000,18,9.99,['English'],26390,1002,20,22814,1012,HuniePot,"Single-player,Steam Achievements,Steam Trading Cards","Indie,RPG,Simulation,Strategy"
1783770,Vacation Adventures: Cruise Director 5,19-Nov-21,0 - 20000,0,6.99,['English'],0,0,0,0,0,Casual Arts,Single-player,"Adventure,Casual,Indie"
1742400,Andromeda Acolytes Beta,12-Jul-22,0 - 0,0,0,[],0,0,0,0,0,,,
2015080,Furry Fantasy,9-Jul-22,0 - 20000,0,6.99,"['English', 'Russian']",0,0,0,0,0,Octo Games,Single-player,"Adventure,Casual"
1302200,End of Panduora,25-Jun-20,0 - 20000,0,8.99,['Simplified Chinese'],1,1,0,0,0,"sonnkoubinn,Nonprover,𝓓𝓻𝔂❆𝓘𝓬𝓮",Single-player,"Indie,Simulation,Strategy"
1539150,Analytical World,19-Feb-21,0 - 20000,0,1.99,"['English', 'German']",3,0,7,0,0,VoidLab,"Single-player,Steam Achievements","Adventure,Casual,Indie,RPG"
1468720,Ultimate Epic Battle Simulator 2,12-May-22,100000 - 200000,0,19.99,['English'],1692,206,0,1828,511,Brilliant Game Studios,Single-player,"Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access"
574080,Fog of War,18-Jun-18,50000 - 100000,0,4.99,"['English', 'Russian']",383,407,0,681,374,Neokosmos Technologies Ltd.,"Multi-player,PvP,Online PvP,Steam Trading Cards","Action,Indie,Massively Multiplayer,RPG,Simulation,Strategy"
1176800,Useless Box: The Game,6-Nov-19,0 - 20000,0,2.99,['English'],3,0,0,0,0,Vigorous Apathy,Single-player,"Casual,Indie"
1593700,"You, Calligrapher",24-Oct-21,0 - 20000,0,11.04,"['English', 'Simplified Chinese']",37,0,30,0,0,LuciiDream 清醒梦,"Single-player,Steam Achievements","Casual,Indie,Simulation"
1720550,Terra Ventura Playtest,16-Dec-21,0 - 0,0,0,[],0,0,0,0,0,,,
